dataset_id,subject_id,hc
Schneider_Barner_2020,05112018-T,14
Schneider_Barner_2020,05112018-ZA,13
Schneider_Barner_2020,061318-JE,29
Schneider_Barner_2020,061318-MP,28
Schneider_Barner_2020,070218-CW-01,10
Schneider_Barner_2020,070218-CW-02,29
Schneider_Barner_2020,070218-CW-03,100
Schneider_Barner_2020,070218-CW-05,49
Schneider_Barner_2020,070218-CW-06,47
Schneider_Barner_2020,070218-CW-08,49
Schneider_Barner_2020,070218-CW-09,39
Schneider_Barner_2020,070218-CW-10,19
Schneider_Barner_2020,070218-CW-11,21
Schneider_Barner_2020,070218-CW-12,28
Schneider_Barner_2020,070218-CW-14,23
Schneider_Barner_2020,070218-CW-17,59
Schneider_Barner_2020,070218-CW-18,30
Schneider_Barner_2020,070218-CW-21,39
Schneider_Barner_2020,070218-CW-22,30
Schneider_Barner_2020,070218-CW-23,109
Schneider_Barner_2020,070318-CW-13,20
Schneider_Barner_2020,070318-CW-15,49
Schneider_Barner_2020,070318-CW-16,12
Schneider_Barner_2020,070318-CW-19,109
Schneider_Barner_2020,070318-CW-24,109
Schneider_Barner_2020,070318-CW-25,28
Schneider_Barner_2020,070318-CW-26,28
Schneider_Barner_2020,070318-CW-27,100
Schneider_Barner_2020,070318-CW-28,109
Schneider_Barner_2020,070318-CW-29,19
Schneider_Barner_2020,070318-CW-30,100
Schneider_Barner_2020,070318-CW-31,109
Schneider_Barner_2020,070318-CW-32,109
Schneider_Barner_2020,070318-CW-33,75
Schneider_Barner_2020,070318-CW-34,100
Schneider_Barner_2020,070318-CW-35,60
Schneider_Barner_2020,070318-CW-36,110
Schneider_Barner_2020,070318-CW-37,140
Schneider_Barner_2020,070318-CW-38,36
Schneider_Barner_2020,070318-CW-39,100
Schneider_Barner_2020,070318-CW-43,100
Schneider_Barner_2020,070518-SWH-20,99
Schneider_Barner_2020,070518-SWH-21,39
Schneider_Barner_2020,070518-SWH-27,19
Schneider_Barner_2020,070518-SWH-28,59
Schneider_Barner_2020,070518-SWH-32,59
Schneider_Barner_2020,070518-SWH-35,77
Schneider_Barner_2020,070518-SWH-38,100
Schneider_Barner_2020,070518-SWH-41,109
Schneider_Barner_2020,070518-SWH-43,100
Schneider_Barner_2020,070518-SWH-44,140
Schneider_Barner_2020,070518-SWH-45,119
Schneider_Barner_2020,070518-SWH-46,140
Schneider_Barner_2020,070518-SWH-47,109
Schneider_Barner_2020,070518-SWH-49,120
Schneider_Barner_2020,070518-SWH-50,119
Schneider_Barner_2020,070518-SWH-51,109
Schneider_Barner_2020,070518-SWH-54,119
Schneider_Barner_2020,070518-SWH-55,101
Schneider_Barner_2020,070518-SWH-56,100
Schneider_Barner_2020,070518-SWH-57,100
Schneider_Barner_2020,070518-SWH-58,140
Schneider_Barner_2020,070518-SWH-59,100
Schneider_Barner_2020,070518-SWH-60,110
Schneider_Barner_2020,070518-SWH-62,68
Schneider_Barner_2020,070618-SWH-04,9
Schneider_Barner_2020,070618-SWH-05,20
Schneider_Barner_2020,070618-SWH-09,49
Schneider_Barner_2020,070618-SWH-11,10
Schneider_Barner_2020,070618-SWH-14,11
Schneider_Barner_2020,070618-SWH-15,29
Schneider_Barner_2020,070618-SWH-16,39
Schneider_Barner_2020,070618-SWH-17,30
Schneider_Barner_2020,070618-SWH-19,18
Schneider_Barner_2020,070618-SWH-22,140
Schneider_Barner_2020,070618-SWH-23,29
Schneider_Barner_2020,070618-SWH-24,65
Schneider_Barner_2020,070618-SWH-25,140
Schneider_Barner_2020,070618-SWH-26,100
Schneider_Barner_2020,070618-SWH-29,11
Schneider_Barner_2020,070618-SWH-31,100
Schneider_Barner_2020,070618-SWH-33,140
Schneider_Barner_2020,070618-SWH-34,39
Schneider_Barner_2020,070618-SWH-36,59
Schneider_Barner_2020,070618-SWH-39,54
Schneider_Barner_2020,070618-SWH-40,109
Schneider_Barner_2020,070618-SWH-42,109
Schneider_Barner_2020,070918-LF-01,109
Schneider_Barner_2020,070918-LF-02,119
Schneider_Barner_2020,070918-LF-03,100
Schneider_Barner_2020,070918-LF-04,109
Schneider_Barner_2020,070918-LF-05,109
Schneider_Barner_2020,070918-LF-06,140
Schneider_Barner_2020,070918-LF-07,100
Schneider_Barner_2020,070918-SWH-01,39
Schneider_Barner_2020,070918-SWH-02,15
Schneider_Barner_2020,070918-SWH-03,10
Schneider_Barner_2020,070918-SWH-06,29
Schneider_Barner_2020,070918-SWH-07,20
Schneider_Barner_2020,070918-SWH-08,29
Schneider_Barner_2020,070918-SWH-10,14
Schneider_Barner_2020,070918-SWH-12,29
Schneider_Barner_2020,070918-SWH-13,18
Schneider_Barner_2020,070918-SWH-18,19
Schneider_Barner_2020,070918-SWH-37,109
Schneider_Barner_2020,070918-SWH-53,100
Schneider_Barner_2020,070918-SWH-61,50
Schneider_Barner_2020,071018-LF-08,109
Schneider_Barner_2020,071018-LF-09,109
Schneider_Barner_2020,071018-LF-10,111
Schneider_Barner_2020,071018-LF-11,140
Schneider_Barner_2020,071018-LF-12,100
Schneider_Barner_2020,071018-LF-13,100
Schneider_Barner_2020,071018-LF-14,100
Schneider_Barner_2020,071018-LF-15,109
Schneider_Barner_2020,071018-LF-16,39
Schneider_Barner_2020,071018-LF-17,100
Schneider_Barner_2020,071118-LF-22,29
Schneider_Barner_2020,071118-LF-23,39
Schneider_Barner_2020,071118-LF-25,109
Schneider_Barner_2020,071118-LF-26,109
Schneider_Barner_2020,071118-LF-27,29
Schneider_Barner_2020,071218-GJ,140
Schneider_Barner_2020,072318-JN,29
Schneider_Barner_2020,072318-KJ,10
Schneider_Barner_2020,072318-XA,29
Schneider_Barner_2020,072418-AE,29
Schneider_Barner_2020,072418-GH,13
Schneider_Barner_2020,072418-RS,55
Schneider_Barner_2020,072518-CP,33
Schneider_Barner_2020,072518-KY,19
Schneider_Barner_2020,072518-LT,12
Schneider_Barner_2020,072518-RM,12
Schneider_Barner_2020,072618-BS,116
Schneider_Barner_2020,072618-RH,19
